app,review,rating,date
BOA,the worst app humans ever created,1,2025-06-09T16:27:28
BOA,it's not working,3,2025-06-05T11:57:36
BOA,"Hello, I’m facing a problem with the BOA Mobile app. Every time I enter my phone number and password, the app crashes and shows an error that says “BoaMobile closed because this app has a bug.” I tried updating, reinstalling, and clearing cache, but nothing worked. Please fix this bug in the next update. I really need access to my account. Thank you.",1,2025-06-03T16:21:34
BOA,exceptional,5,2025-06-03T10:32:35
BOA,BoA Mobile good bank,5,2025-06-02T14:25:12
BOA,this is worest app 24/7 loading,1,2025-06-01T15:51:10
BOA,This App is not interest for Android phone Please update it .,1,2025-06-01T10:17:10
BOA,BoA system is confartable,5,2025-06-01T00:47:32
BOA,"this app, for me , is a waste of time. It doesn't work . I can't even long in, and it really piss me off. FIX THE PROBLEM",1,2025-05-27T21:16:27
BOA,Good service.,3,2025-05-25T19:14:52
BOA,the app crush frequently,1,2025-05-24T12:24:56
BOA,good,5,2025-05-22T15:34:58
BOA,You guys keeps getting worst,1,2025-05-22T08:57:39
BOA,good,5,2025-05-21T19:16:49
BOA,"This app is a joke. It crashes more than it works, takes forever to load, and half the features are just decorative at this point. Can’t log in, can’t transfer money, can’t even check my balance without it bugging out. To the developer: Are you actually trying to make this work, or is this some kind of social experiment to test our patience? Did you build this in your sleep? Because it definitely looks like it. If this is your idea of a functional app, maybe consider a different career path🙏",1,2025-05-21T13:49:15
BOA,BoA,2,2025-05-20T15:21:55
BOA,good,5,2025-05-20T10:57:13
BOA,but not opening on android,4,2025-05-19T17:19:32
BOA,Worst App ever. Totally unreliable. And it didn't work at all for the last 4 months.,1,2025-05-18T15:36:47
BOA,amazing,5,2025-05-18T14:34:19
BOA,excellent app,4,2025-05-16T21:34:42
BOA,excellent,5,2025-05-15T15:42:43
BOA,ሞላዬ ከበደ,5,2025-05-14T15:47:57
BOA,"this app does no work on Samsung a51, it just gives a preview of the logo",1,2025-05-11T19:07:08
BOA,nice,5,2025-05-10T18:48:38
BOA,"i entered incorrect security question by mistake boa app lock pin forever, why is there no other options? ?? i contacted different branchs more then 4times but they didn't able to solve this issue .",5,2025-05-10T12:44:44
BOA,Best app,5,2025-05-09T16:12:56
BOA,liking this application good 👍,5,2025-05-07T18:34:10
BOA,"This app future is good, but there is problems with apps to reset and activate it, which is difficult even to the branch staffs, and it takes too long times to active at the branch plus most of the time high expected failure of activation after process at the counter and OTP sent not work",1,2025-05-06T18:06:33
BOA,good,5,2025-05-06T17:44:32
BOA,good,5,2025-05-02T21:50:25
BOA,good,4,2025-04-30T11:23:56
BOA,good,4,2025-04-30T10:34:17
BOA,wow,5,2025-04-28T17:51:26
BOA,it's really good 👍,5,2025-04-23T19:44:14
BOA,Bad app . it stuck when you open and noting WORKS.,1,2025-04-23T14:16:20
BOA,"the app isn't working after it asked me the password it starts loading, but it doesn't open",3,2025-04-20T21:05:21
BOA,Best,2,2025-04-19T18:38:02
BOA,It keeps showing this pop up to turn off developer options even tho it's off! I had to turn on and then off to make it work! This is a horrible experience and needs a fix asap! Plus kinda slow.,1,2025-04-19T07:15:54
BOA,yideg,1,2025-04-18T00:18:40
BOA,አይከፍትም እኮ,1,2025-04-17T10:12:16
BOA,great boa,5,2025-04-10T14:33:26
BOA,Best,5,2025-04-10T11:53:01
BOA,boa of mobile backing,5,2025-04-09T14:32:34
BOA,nice,5,2025-04-09T04:01:08
BOA,faster bank of Abissinya,5,2025-04-08T16:36:23
