app,review,rating,date
Dashen,very good .,5,2025-06-09T23:31:03
Dashen,this app is good for you guys,5,2025-06-09T11:49:55
Dashen,wow,5,2025-06-09T01:37:09
Dashen,kalid,5,2025-06-08T00:04:22
Dashen,I like this mobile banking app very much. Overall user interface and navigation is awesome. But it lacks instant response when someone deposit or withdraw money.,2,2025-06-07T10:40:29
Dashen,love,3,2025-06-06T00:15:44
Dashen,መቸሸጠ,5,2025-06-03T19:40:31
Dashen,wow,5,2025-06-03T17:30:11
Dashen,gadaa,5,2025-06-01T17:10:53
Dashen,Massive upgrade from the Amole app.,5,2025-05-31T23:04:04
Dashen,good,4,2025-05-31T22:39:35
Dashen,very good for this app,5,2025-05-31T21:03:18
Dashen,top,5,2025-05-31T20:25:21
Dashen,this app better than Amole . but the biometric on new update doesn't work,4,2025-05-31T12:24:07
Dashen,Wow,5,2025-05-30T11:16:47
Dashen,good,5,2025-05-30T11:13:17
Dashen,wow to it saff and this app,5,2025-05-30T10:11:47
Dashen,it too slow,3,2025-05-29T13:26:30
Dashen,ዳሽን ባንክ ይለያል,4,2025-05-28T19:34:49
Dashen,real life changer,5,2025-05-28T12:01:56
Dashen,👍👍👍,5,2025-05-28T11:47:32
Dashen,good,5,2025-05-28T11:35:42
Dashen,nice application,5,2025-05-27T14:31:31
Dashen,good,5,2025-05-27T11:24:34
Dashen,wow,5,2025-05-27T10:54:43
Dashen,useless app ever loading take long,1,2025-05-27T09:19:32
Dashen,"Game changer app! Dashen Bank Super App is fast, secure, and easy to use. The three-click payment makes sending money super quick, and the QR code payment is perfect for cashless shopping. I also love the biometric login and easy airtime and bill payments. Everything I need is in one place. Dashen Bank has really raised the bar for digital banking in Ethiopia. Highly recommended!",5,2025-05-26T19:16:29
Dashen,very useful App,1,2025-05-26T13:10:58
Dashen,"Simple, robust features? Yes, please! But the endless loading screen killed the fun—I couldn’t use it for days. Fix the glitch, and I’ll yeet a higher rating!",2,2025-05-26T08:21:54
Dashen,Wawww,5,2025-05-24T16:55:43
Dashen,it is good but some times says duplicate transaction why?,5,2025-05-24T08:07:56
Dashen,very Nice,5,2025-05-23T12:09:24
Dashen,its best,5,2025-05-23T03:53:15
Dashen,it is not as good as to the other mobile bank app.,1,2025-05-22T19:35:38
Dashen,"The best of best is now arrived **Empowering Your Financial Freedom** ""Experience seamless banking at your fingertips with Dashen Bank. Empowering your financial freedom, anytime, anywhere!"" **Innovation Meets Convenience** ""Dashen Bank Mobile Banking: Where innovation meets convenience. **Secure and Reliable** ""Bank with confidence",5,2025-05-22T09:42:22
Dashen,wow,5,2025-05-20T14:32:56
Dashen,Nothing is changed in the updated version. You have been collecting comments but where is the feed back you improved in this version. superapp is mot functioning today.,4,2025-05-20T13:22:54
Dashen,good,5,2025-05-20T09:42:35
Dashen,its best,5,2025-05-19T09:00:24
Dashen,The best app ever in finance sector,5,2025-05-18T22:01:50
Dashen,Its good app than other compitators but it confuse when we transfer it needs OTP and PIN most user inter their pin instead of OTP we know the litrecy level of our society so if it is device based i dont know the needs of OTP so please try to fix,3,2025-05-18T13:32:58
Dashen,dashen bank or dashen super app?,1,2025-05-17T16:44:29
Dashen,wowwwe app,5,2025-05-17T11:30:07
Dashen,"Transferring to other bank accounts is a hastle and inconvenient .Get used to seeing "" please try again """,2,2025-05-17T11:03:32
Dashen,good,5,2025-05-16T21:56:27
Dashen,always lagging,1,2025-05-16T16:30:56
Dashen,Amazing Application...,5,2025-05-16T11:23:47
Dashen,Fantastic,5,2025-05-16T10:07:49
Dashen,"Dashen bank app is very good, but sometimes it is not working well",5,2025-05-15T22:32:51
Dashen,its my choice,5,2025-05-15T21:15:44
Dashen,wow apo,5,2025-05-15T11:28:50
Dashen,awesome app keep going,5,2025-05-14T10:10:44
Dashen,wow,5,2025-05-14T09:44:58
Dashen,👍,5,2025-05-14T08:07:48
Dashen,"It grows ethiopian digital banking step ahead.All fetures in one,simple fast and convince.",5,2025-05-14T05:39:16
Dashen,Game changer,5,2025-05-13T22:12:29
Dashen,Totally amazing,5,2025-05-13T19:46:18
Dashen,super 😎,5,2025-05-13T14:15:20
Dashen,what a helpful app!!!!,5,2025-05-13T12:09:55
Dashen,Good,4,2025-05-13T11:42:22
Dashen,nice,5,2025-05-13T10:46:37
Dashen,wow,5,2025-05-13T08:21:51
Dashen,"To be honest, best banking and lifestyle app in Ethiopia.",5,2025-05-12T16:03:18
Dashen,fast,5,2025-05-12T11:18:46
Dashen,"A must have, seamless, all in one digital platform ""DB Superapp""! Keep living your motto ""Always one step ahead""",5,2025-05-12T09:36:47
Dashen,"This App makes digital banking effortless and convenient. User-friendly interface, secure transactions, and excellent features for managing finances efficiently.",4,2025-05-10T10:01:21
Dashen,good,5,2025-05-09T19:44:41
Dashen,Amazing app super easy to use and best design. loved it.,5,2025-05-09T18:44:58
Dashen,its the best ever,5,2025-05-09T00:18:26
Dashen,nice,5,2025-05-08T11:37:34
Dashen,excellent game changer App,5,2025-05-08T11:07:07
Dashen,I am highly excited by using this application and it is the most favorable as well as preferrable mobile app.,5,2025-05-03T15:53:37
Dashen,it seems me logging out within minutes,1,2025-05-03T09:43:29
Dashen,nice app especially GUI and I have got some error when you send within dashen bank the receipter is not get SMS notification,4,2025-05-03T08:09:08
Dashen,yes i want dashen super open,5,2025-05-02T23:55:12
Dashen,Best App,5,2025-05-02T10:45:22
Dashen,faster than this version,5,2025-05-01T04:20:47
Dashen,"Best UI mobile banking app, props to design team",5,2025-04-30T19:43:36
Dashen,thank you,4,2025-04-30T16:28:14
Dashen,great app,5,2025-04-30T14:55:56
Dashen,bad.,1,2025-04-30T11:54:32
Dashen,Dashen bank always one step ahead,5,2025-04-30T07:05:39
Dashen,dashen super app is secure band very easy,5,2025-04-29T15:48:26
Dashen,It is very fast and secured mobile banking app! I like this app!,5,2025-04-29T15:27:54
Dashen,best app I have ever seen,5,2025-04-29T10:49:49
Dashen,best of best,5,2025-04-29T10:37:26
Dashen,waw,5,2025-04-28T14:05:09
Dashen,best app,5,2025-04-28T12:15:07
Dashen,Its slow when i try to see the Recent Transaction and stucked,1,2025-04-28T10:11:58
Dashen,wowslnwoooo wowwww amazing !!!!!!!!,5,2025-04-28T10:08:41
Dashen,wow appl,5,2025-04-28T09:54:34
Dashen,why do i have to change a pin number i use my finger print so dummy,1,2025-04-27T04:44:20
Dashen,very nice,5,2025-04-26T22:56:19
Dashen,great,4,2025-04-26T18:06:27
Dashen,"It is very slow and it lacks many features to be a super app. High rating is given by their employees, not by the customers.",1,2025-04-25T11:43:56
Dashen,"Smooth and secure experience transfers, bill payments, and tracking expenses are all effortless. The intuitive design makes banking on the go.",5,2025-04-24T13:56:14
Dashen,Very easy and Fast.,5,2025-04-24T11:37:47
Dashen,Incomparably user-friendly and fast app for mobile banking.,5,2025-04-24T11:36:51
Dashen,"there is nothing super about this app, repeatedly failed transaction and wastes customer valuable time. if you have to do system upgrade do it at a time when there is less traffic demand. your Technical difficulty should not be reflected on customer.",2,2025-04-24T09:32:35
Dashen,execellent,5,2025-04-24T09:23:20
Dashen,"This super app is a total game-changer—fast, reliable, and packed with everything I need in one place. It’s seamless and super convenient. Love it!""",5,2025-04-23T21:09:47
Dashen,All in One ✍️secure ✍️reliable ✍️convenient. Digital banking game changer!!,5,2025-04-23T20:44:20
Dashen,it is incredible product.,5,2025-04-23T16:09:24
Dashen,"I'm really impressed with this app! It’s user-friendly, runs smoothly, and has all the features I need. Makes my tasks so much easier and saves me a lot of time. Highly recommended!",5,2025-04-23T16:01:37
Dashen,best app,5,2025-04-23T13:36:19
Dashen,ok,5,2025-04-23T13:33:32
Dashen,"It's an amazing app, experience it!!",5,2025-04-23T10:41:16
Dashen,This is the best banking app ever. I recommend everyone to use it.,5,2025-04-23T09:06:58
Dashen,It is the best application!!!,5,2025-04-22T21:36:32
Dashen,"Exceptional digital experience, SupperApp will bring new paradigm shift in the banking business. Bravo Dashen keep it up!!!!",5,2025-04-22T15:36:39
Dashen,its features are so dynamic,5,2025-04-22T14:30:51
Dashen,fast &Friendly user Application.,5,2025-04-22T13:53:47
Dashen,"Fast, Reliable and User Friendly. Keep it Up",5,2025-04-22T13:46:52
Dashen,"#dashen super app is easy to use, secure & fast transaction😍",5,2025-04-22T13:44:44
Dashen,i love this app esp 3 click that make e-commerce easier and convinient.,5,2025-04-22T13:24:34
Dashen,Dashen Super App contains extended selections for customers and can be easily accessible and also friendly to use.,5,2025-04-22T12:44:11
Dashen,Great for everyday banking and payments on the go,5,2025-04-22T12:37:27
Dashen,"""Dashen Super App'' is impressive with its focus on simplicity, speed, and quality. The user interface is clean and easy to understand. Transactions process quickly, and the overall quality of the app is top-notch. A must-have for Dashen Bank customers. ዳሸን ባንክ አንድ እርምጃ ቀዳሚ።",5,2025-04-22T10:18:12
Dashen,making transactions has never been easier. the new update is just amazing,5,2025-04-22T09:30:40
Dashen,"The app has various usefull functions, which make easy the payment system. Also, it will connect with sellers having reasonable prices.",5,2025-04-22T09:22:10
Dashen,The app has great user interface with comprehensive payments and E-commerce platforms. And also it includes unique features such as chat Banking and budget.,5,2025-04-22T09:02:26
Dashen,betam mirt Ena betam le atikakem kelel Yale Ena michu application nw,5,2025-04-22T08:55:03
Dashen,Convenient!,5,2025-04-22T08:52:38
Dashen,It is an amazing application that meets the needs of customers.,5,2025-04-22T08:51:42
Dashen,Effecting payment via the app has created convenience to the recipients in easily confirming the payments received!,5,2025-04-22T08:49:45
Dashen,the best Supper App ever,5,2025-04-22T08:16:34
Dashen,"This is the best app ever, when is it planned to include digital lending and gasification?",5,2025-04-22T08:09:10
Dashen,"A powerful, local solution that rivals any global app. I love how easy it is to explore services and products.",5,2025-04-22T08:05:12
Dashen,Dashen bank is my number one choice,5,2025-04-22T08:04:41
Dashen,Assefa Genetu = Dashen superup is the latest and inclussive .I am happy with this super up.,5,2025-04-22T06:14:51
Dashen,"The App is incredibly user-friendly and brings multiple services into one place. It's fast, intuitive, and makes daily tasks super convenient. A true all-in-one solution!",5,2025-04-21T23:50:10
Dashen,"Proudly made in Ethiopia, this innovation delivers more than promised. The marketplace is a major boost for local commerce",5,2025-04-21T23:28:44
Dashen,it so fanrastic and user friendly app. Bravo Dashen bank thanks.,5,2025-04-21T22:53:58
Dashen,"one of the best digital platforms I've used! from smooth transactions to a seamless shopping experience, highly recommended.",5,2025-04-21T22:32:42
Dashen,A proudly Ethiopia innovation that delivers beyond expectations. The marketplace feature is a big win for local shoppers bnd sellers,5,2025-04-21T22:21:45
Dashen,"Dashen Super App is a game-changer! It’s fast, user-friendly, and packed with features that make everyday banking and transactions super convenient. I love how everything I need from mobile banking to utility payments is all in one place. The interface is clean, and everything works smoothly. Definitely one of the best apps out there. Highly recommended!",5,2025-04-21T21:28:50
Dashen,Easy to use and has many options. It is the best financial app I have ever used.,5,2025-04-21T21:20:16
Dashen,"Highly impressed! Dash Bank really nailed it with this app. Secure, reliable, and packed with features I use daily",5,2025-04-21T20:35:46
Dashen,"One of the best digital platforms I’ve used! From smooth transactions to a seamless shopping experience, Highly recommended",5,2025-04-21T20:34:53
Dashen,"This app has everything I was looking for, dashen is becoming a grandmaster.",5,2025-04-21T20:34:23
Dashen,Very convenient,5,2025-04-21T20:12:22
Dashen,"The user experience is seamless, and everything just works perfectly right out of the box. I can’t believe how much time and effort it saves me every day.",5,2025-04-21T20:03:27
Dashen,wawwwww what nice super app !!keep it up dashen bank !!,5,2025-04-21T19:14:21
Dashen,"Dashen SuperApp the ultimate all-in-one solution! From banking and shopping to bill payments, everything you need is right at your fingertips. Life just got a whole lot easier!",5,2025-04-21T18:19:05
Dashen,"It is,really super because of its unique offerings to individuals and businesses.It is a secure UX first app intended to cater comprehensive digital meeds.I am also happy to know that Dashen is considering to make the app more inclusive by lowering the mobile version requirements .",5,2025-04-21T17:57:03
Dashen,"the very easy, secured, fast and multifunctional dashen supper application I ever seen. dashen really one steps ahead!!!",5,2025-04-21T17:46:15
Dashen,"One app for everything! I can shop, manage my bank account , and do so much more . Truly a super app",5,2025-04-21T17:44:31
Dashen,one of the best digital platforms I’ve used! From smooth transactions to a seamless shopping experie,5,2025-04-21T17:40:32
Dashen,"Dashen Bank super App is the most suitable, reliable, and fast digital banking system.",5,2025-04-21T17:40:23
Dashen,Excellent app.,5,2025-04-21T17:32:20
Dashen,This is what we call banking app. As professional I want banking app as simple as this and an app rich of features that align with my lifestyle.,5,2025-04-21T17:13:56
Dashen,thanks again,5,2025-04-21T16:42:21
Dashen,Super Easy To Use and Fast Transaction.,5,2025-04-21T16:28:55
Dashen,"I have an incredible experience with Dashen super app, what an amazing platform is it?. keep pioneering in technological advancement 👏👏👏",5,2025-04-21T16:21:18
Dashen,"i can't recommend the Dashen Super App enough! This app is truly a game changer for anyone looking for a seamless and efficient way to manage their daily life. It combines multiple essential services into one easy-to-use platform, saving time and simplifying tasks The user interface is modern, intuitive, and super responsive, making navigation a breeze. Whether it's banking, payment services, or accessing lifestyle features, everything is just a few clicks away!!",5,2025-04-21T16:08:23
Dashen,"The app is incredibly handy for managing multiple financial tasks, from bill payments to managing budgets. It’s saved me a lot of time and made banking way more convenient. Definitely worth checking out!",5,2025-04-21T16:01:01
Dashen,what an App,5,2025-04-21T15:59:35
Dashen,The new e-commerce feature is incredibly amazing and user friendly.,5,2025-04-21T15:41:06
Dashen,"dashen bank supper app is the most easy to use and have high speed,quality and I like features like chat,budget,fuel payment, and security for my opinion this product is techonolgy edge,this international standard thanks for product oweners (dashen bank)",3,2025-04-21T15:40:38
Dashen,"The Dashen supperapp is a revolutionary advancement in digital banking, combining exceptional usability, an intuitive interface and a seamless user experience. among its standout features are the integration of QR codes, account statement, transaction advise, chat, transaction authentication for limit thresholds, budgeting and different app in a single dashboard. Truly ahead of the curve ..... keep up the excellent work 🤝👏",5,2025-04-21T15:40:34
Dashen,"A proudly Ethiopian innovation that delivers beyond expectations. The marketplace feature is a big win for local shoppers and sellers. Very impressed with the new updates, The e-commerce section is smooth and supports Ethiopian merchants!",5,2025-04-21T15:33:37
Dashen,"Very impressed with the new updates, The e-commerce section is smooth and supports Ethiopian merchants.",5,2025-04-21T15:22:02
Dashen,"Dashen Bank Super App is fast, reliable, and super easy to use. All my banking needs are handled smoothly in one place. Clean design and seamless experience – highly recommended!",5,2025-04-21T15:16:09
